"Name","Topic","Abstract","Short discription","YouTube Video Link","Document","ID","Created Date","Updated Date","Owner","Seminar","Short Description-1","slug","RuthManorLectures_lecture"
"Edi Pavlović","Proof Theory Tutorial (i): Sequent calculi and their properties","The purpose of proof theory is to build well-behaved proof systems. In this first session, we introduce sequent calculi, discuss what properties make them behave well, outline how to obtain them, and explore their roles in mathematical logic.","Introduction to the basics of sequent calculi, focusing on key structural features and motivations.",,,"01a3ab9d-931d-4ead-822d-954c18c61d67",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Norbert Gratzl","Living Within One’s Means, Take 2","This talk presents a particular view on potential infinity that builds essentially on a generative process, taken seriously as the foundation for which arithmetics are justifiable. We also present correspondences to modal logics, showing what kinds of modal arithmetics arise under this constrained perspective on potential infinity.","Exploration of a generative account of potential infinity, its consequences for arithmetic, and the related modal frameworks that emerge from this standpoint.",,,"051fc3f9-f775-44b6-be8f-878bfe958f83",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Edi Pavlović","Proof Theory Tutorial (iii): Geometrization","Continuing from the previous sessions, we look at how to employ proof-theoretic methods—without losing the well-behaved features we worked hard to preserve—in philosophical and foundational discussions. We introduce geometrization, a process that, despite its name, has nothing to do with geometry but allows for careful transformation of proof systems.","Extending proof-theoretic techniques to broader philosophical questions via a transformation method called geometrization.",,,"1b424dba-2712-46ca-91ec-d5f06e88a890",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Paolo Mancosu","How many points are in a line segment? From Grosseteste to numerosities.","In his commentary on Aristotle’s Physics, Robert Grosseteste (ca. 1175-1253), Oxford theologian and Chancellor of the University, wrote: “Moreover, [God] created everything by number, weight, and measure, and He is the first and most accurate Measurer. By infinite numbers which are finite to Him, he measured the lines which He created. By some infinite number which is fixed and finite to Him, He measured and numbered the one-cubit line; and by an infinite number twice that size, He measured the two-cubit line; and by an infinite number half that size, He measured the half-cubit line.” In Grosseteste’s account the numerosity of the points in a finite line segment covaries with the length of the line segment. This position gave rise to an interesting number of debates in the XIIIth century especially as a consequence of a challenge raised by the Oxford theologian Richard Fishacre (1205-1248) who set up a one to one correspondence between the points in line segments of different lengths. I will reconstruct some aspects of this medieval debate, connect it to later intuitions (Bolzano and Cantor), and then discuss recent results from the theory of numerosities to the effect that the counting of points in a line segment preserving the part-whole principle is compatible with Lebesgue measure. I conclude that Grosseteste’s intuitions can find a suitable mathematical implementation.",,,,"1c12708e-a2c3-48a9-b751-e265dc62950f",2025-11-13T09:42:25Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""7329cc53-62be-4f03-b64c-4b8fa1c86420""]",,,"[""1384418b-d825-4f9a-a0cf-f34c6ad24ae8""]"
"Ofra Rechter","‘Mathematical Intuition’ from a Critical point view","This session offers a critical exploration of mathematical intuition, examining the ways in which intuition is characterized in mathematical practice and discussing potential philosophical critiques and limits.","A critical analysis of the notion of mathematical intuition, investigating both historical and contemporary viewpoints.",,,"1d7531c1-a937-44cc-881c-0b67f6e63b63",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Nenad Smokrović (Rijeka)","Game Theory and Decision Theory in Philosophy and Logic – Part I",,,,,"22b352ff-418c-46d2-89d2-80a49d38e8e7",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Edi Pavlović (Bayreuth)","Game Theory and Decision Theory in Philosophy and Logic – Logic of agency",,,,,"2537fc58-8a5e-4ff4-a15e-af2c63419074",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Ante Debeljuh","Knowledge and Belief in Distributed Systems","""Epistemic and doxastic logics were developed as a way of talking about knowledge and belief attribution in the most abstract of settings. Hintikka’s endeavour (1963) resulted in this domain-specific formalism reflecting the behaviour of epistemic and doxastic notions within its theoretical framework. The basis for this development was modal logic with intensional semantics, which allowed the theorists to construct the notions of knowledge and belief through relational structures. The theorists’ attempts of calibrating the formalism to fit the epistemic theory and vice versa resulted in what we now know as epistemic modelling. Keeping this in mind, there appeared quite a few of theoretical frameworks that diverged in the way that the basic constituents of epistemic models were defined. The earlier attempts were predominantly language-based, which used structures such as sentences to play the part of the basic units of the model. I will use Stalnaker’s paper The Problem of Logical Omniscience I to elaborate a bit on the model he dubbed The Sentence Storage Model in order to examine some prominent issues the theorists encounter when constructing a language-based model. Some later attempts of constructing a non-linguistic model were inspired by computer sciences and developed into proper epistemic models that avoided many of the problems that the language-based models encountered. Stalnaker wrote another paper named On the Logics of Knowledge and Belief, in which he discusses such attempts of model building. The specific framework for modelling that I intend to discuss in my talk is called Distributed Systems Modelling (DSM), that adapts the way of talking about interconnected processors within a computer network into an externalist epistemic model. I intend to show how we can adapt the language that epistemic logics use to talk about knowledge and belief to the DSM jargon in order to show how this way of conceptualizing epistemic situations can be a useful theoretical instrument. Furthermore, I intend to talk about the interrelationship between knowledge and belief within such structures as DSMs, as not all logics used in epistemic modelling are capable of defining them discretely. I intend to skim through some formalisms such as S4, S4.2, and S5 in order to show how this interrelationship can be defined.""",,,,"271cbb7b-c1d1-4a45-95f7-596f04ca41b8",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Nenad Smokrović (Rijeka)","Game Theory and Decision Theory in Philosophy and Logic – Part II",,,,,"29397a2b-4629-456b-8d28-ac48138cea4a",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
,,,,,,"32b55f51-5786-460c-88bf-2d57464e6c86",2025-11-20T11:32:50Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10",,,,
