speaker,affiliation,title,day,time,type,abstract
Zvonimir Šikić,Rijeka,Philosophy of Mathematics Essentials – Finite numbers and their logic (Part I),"Monday, July 14",10:00-10:45,tutorial,
Zvonimir Šikić,Rijeka,Philosophy of Mathematics Essentials – Finite numbers and their logic (Part II),"Monday, July 14",11:00-11:45,tutorial,
Zvonimir Šikić,Rijeka,Philosophy of Mathematics Essentials – Transfinite numbers and their mathematics,"Monday, July 14",15:00-16:30,tutorial,
Ofra Rechter,Tel Aviv,Proof Theory – The roots of proof theory: Foundational background,"Tuesday, July 15",09:30-10:15,tutorial,
Ofra Rechter,Tel Aviv,Proof Theory – The fruits of proof theory: Some consequences,"Tuesday, July 15",10:30-11:15,tutorial,
Edi Pavlović,Bayreuth,Proof Theory – Sequent calculi and their properties,"Tuesday, July 15",14:30-16:00,tutorial,
Edi Pavlović & Norbert Gratzl,Bayreuth & LMU,Proof Theory – Modal logics,"Wednesday, July 16",09:30-10:15,tutorial,
Edi Pavlović & Norbert Gratzl,Bayreuth & LMU,Proof Theory – Geometrization,"Wednesday, July 16",10:30-11:15,tutorial,
Edi Pavlović,Bayreuth,Proof Theory – Modal logics & geometrization,"Wednesday, July 16",16:15-17:15,tutorial,
Nenad Smokrović,Rijeka,Game Theory and Decision Theory in Philosophy and Logic – Part I,"Thursday, July 17",09:30-10:15,tutorial,
Nenad Smokrović,Rijeka,Game Theory and Decision Theory in Philosophy and Logic – Part II,"Thursday, July 17",10:30-11:15,tutorial,
Edi Pavlović,Bayreuth,Geometrization – LiP tutorial,"Friday, July 18",09:30-11:15,tutorial,
Edi Pavlović,Bayreuth,Game Theory and Decision Theory in Philosophy and Logic – Logic of agency,"Friday, July 18",09:30-11:15,tutorial,
Edi Pavlović,Bayreuth,Game Theory and Decision Theory in Philosophy and Logic – Action and obligation,"Friday, July 18",12:15-12:30,tutorial,
Ante Debeljuh,Rijeka,LiP Advanced Graduate tutorial – The basics of formal epistemology,"Friday, July 18",14:30-16:00,tutorial,
Tom Kirkpatrick,TAU,LiP Advanced Graduate tutorial – Lex specialis derogat legi generali – the logical content,"Friday, July 18",14:30-16:00,tutorial,
Guy Lev,TAU,"LiP Advanced Graduate tutorial – Boo murder, hurray numbers: Expressivism and validity","Friday, July 18",14:30-16:00,tutorial,
—,—,Meeting of the International Seminar with students participating from abroad (via Zoom),"Sunday, July 13",11:00-13:00,other,
—,—,Proof theory student presentations,"Wednesday, July 16",14:30-16:00,other,
—,—,Joint Concluding Session,"Friday, July 18",16:15-17:15,other,
