type,year_label,year_sort,speaker,affiliation,title_en,title_he,title_ar,extra_lecture_title,venue,date_exact,notes,status
symposium,2006 (תשס״ז),2006,Jaakko Hintikka,,What the Bald Man Can Tell Us: A Solution to the Sorites Paradox,,,,Tel Aviv University,,"Memorial symposium one year after Ruth Manor's death; chair: Leo Corry. Papers published as 'Hues of Philosophy', ed. Anat Biletzki. Affiliation missing in source.",needs_verification
founding_symposium,2009 (תש״ע),2009,Eli Dresner,Tel Aviv University,"Soundness, Completeness and Logical Consequence: a bottom up approach",,,,Tel Aviv University,,Founding symposium of the series.,complete
founding_symposium,2009 (תש״ע),2009,Gila Sher,UC San Diego,Ruth Manor and the relation between the theoretical and the Pragmatic,,,,Tel Aviv University,,Founding symposium of the series.,complete
founding_symposium,2009 (תש״ע),2009,Carl Posy,Hebrew University of Jerusalem,On the Finite: Some Lessons from Kant,,,,Tel Aviv University,,Founding symposium of the series.,complete
founding_symposium,2009 (תש״ע),2009,Ran Lanzet,Tel Aviv University (graduate student),The Sorites and the justification of Mathematical Induction,,,,Tel Aviv University,,Founding symposium of the series. Source spells 'Sorietes' [sic].,complete
annual_lecture,2010–11,2010,Ruth Weintraub,Tel Aviv University,To Eat or Not To Eat? — That is the Question,,,,,,,complete
annual_lecture,2010–11,2010,Stewart Shapiro,"Ohio State University & Arché Research Centre, St Andrews","Vagueness, Open-texture, and Retrievability",,,,,,Source doc flags Shapiro's details for verification.,needs_verification
annual_lecture,2011–12,2011,Michael Glanzberg,Rutgers University,"Semantics, truth and model theory",,,Logical Consequence and Natural Language,Rutgers University,,Main lecture delivered at Rutgers per source; flagged for verification.,needs_verification
annual_lecture,2012–13,2012,Peter Pagin,University of Stockholm,The Sorites Paradox and the Gap approach,,,,,,Flagged for verification in source.,needs_verification
annual_lecture,2013–14,2013,Danny Fox,MIT,"Language, Logic, and Modularity",,,,,,Flagged for verification in source.,needs_verification
annual_lecture,2014–15,2014,Timothy Williamson,University of Oxford,Modal Logic and Natural Science,,,Absolute Provability,,,Flagged for verification in source.,needs_verification
annual_lecture,2015–16,2015,Kit Fine,NYU,Logic truth and paradox,,,,,,Flagged for verification in source; title casing/punctuation as in source.,needs_verification
annual_lecture,2016–17,2016,Øystein Linnebo,University of Oslo,Generalization Explained: a truth-maker Semantics,,,,,,Flagged for verification in source.,needs_verification
annual_lecture,2017–18,2017,Hanoch Ben-Yami,"Central European University, Budapest",,,,,,,A student of Ruth Manor. No lecture title in source.,needs_title
annual_lecture,2018–19,2018,Wilfried Sieg,Carnegie Mellon University (Patrick Suppes Professor of Philosophy),"Thinking, Computing, Thinking — or how mathematics got its computations",,,On Tait On Finitism of Hilbert and Bernays,"Gilman 449, Tel Aviv University",2019-03-13,Full title and date recovered from the 2019 poster (poster draft 1.pages); doc had short title only and flagged Sieg for verification.,complete
annual_lecture,2021–22,2021,Juliet Floyd,"Boston University (Borden Parker Bowne Professor; director, BU Center for the Humanities)",Turing and Wittgenstein,,,,Online (Zoom),,2019–20/2020–21 activity suspended due to COVID.,complete
annual_lecture,2022–23,2022,Anil Gupta,University of Pittsburgh (Alan Ross Anderson Distinguished Professor),A General Theory of Definitions,,,,Online (Zoom),2022-03-09,"Title and date from the 2022 flyer, which calls it 'The 2022 annual Lecture'; the source doc lists Gupta under 2022–23 — year labeling discrepancy to resolve.",needs_verification
annual_lecture,2023–24,2023,Warren Goldfarb,Harvard University (W.B. Pearson Professor of Modern Mathematics and Mathematical Logic),,,,,Online (Zoom),,'LiP TAU-IUC 2024' per source. No lecture title in source.,needs_title
annual_lecture,2025–26,2025,Paolo Mancosu,UC Berkeley (Willis S. and Marion Slusser Professor of Philosophy),How many points are in a line segment? From Grosseteste to numerosities,,,,"Gilman Hall, room 449, Tel Aviv University",2025-12-10,"Title, date and full abstract from the Mancosu abstract docx (see converted/mancosu-2025-abstract.md); the source doc had 'Link title….' placeholder.",complete
